Stat	numID	code	name	numparam	base1	length1	description1	paramtype2	base2	length2	description2	paramtype3	base3	length3	description3	paramtype4	base4	length4	description4	modcode1	modcode2	modcode3	modcode4	lookup	*eol
strength	0	str	Strength	1	-32	8														max					0
energy	1	enr	Energy	1	-32	7														max					0
dexterity	2	dex	Dexterity	1	-32	7														max					0
vitality	3	vit	Vitality	1	-32	7														max					0
statpts	4		Stat Points																						0
newskills	5		Skill Points																						0
hitpoints	6		Life																						0
maxhp	7	hp	Max Life	1	-32	9														max					0
mana	8		Mana																						0
maxmana	9	mana	Max Mana	1	-32	8														max					0
stamina	10		stamina																						0
maxstamina	11	stam	Max Stamina	1	-32	8														max					0
level	12		Level																						0
experience	13		experience																						0
gold	14		gold																						0
goldbank	15		goldbank																						0
item_armor_percent	16	ac%	Enhanced Defense %	1	0	9	%													max					0
item_maxdamage_percent	17	dmg%	Enchanced Damage %	2	0	9	% Min Damage	0	0	9	% Max Damage									min	max				0
item_mindamage_percent	18	min-dmg%	Enchanced Min Dmg %	1	0	9	%													max					0
tohit	19	att	Attack Rating	1	0	10														max					0
toblock	20	block	Chance of Blocking %	1	0	6	%													max					0
mindamage	21	dmg-min	Min 1-handed Dmg	1	0	6														max					0
maxdamage	22	dmg-max	Max 1-handed Dmg	1	0	7														max					0
secondary_mindamage	23	dmg-min	Min 2-handed Dmg	1	0	6														max					0
secondary_maxdamage	24	dmg-max	Max 2-handed Dmg	1	0	7														max					0
damagepercent	25		Damage % nv	1	0	8	%													max					0
manarecovery	26		Regenerate Mana % nv	1	0	8	%													max					0
manarecoverybonus	27	regen-mana	Regenerate Mana Plus %	1	0	8	%													max					0
staminarecoverybonus	28	regen-stam	Heal Stemina Plus %	1	0	8	%													max					0
lastexp	29		lastexp																						0
nextexp	30		nextexp																						0
armorclass	31	ac	Defense	1	-10	11														max					0
armorclass_vs_missile	32	ac-miss	Def vs Missile	1	0	9														max					0
armorclass_vs_hth	33	ac-hth	Def vs Melee	1	0	8														max					0
normal_damage_reduction	34	red-dmg	Damage Reduced By	1	0	6														max					0
magic_damage_reduction	35	red-mag	Magic Dmg Reduced By	1	0	6														max					0
damageresist	36	red-dmg%	Damage Reduced By %	1	0	8	%													max					0
magicresist	37	res-mag	Magic Resistance %	1	0	8	%													max					0
maxmagicresist	38	res-mag-max	Max Magic Resistance %	1	0	5	%													max					0
fireresist	39	res-fire	Fire Resistance %	1	-50	8	%													max					0
maxfireresist	40	res-fire-max	Max Fire Resistance %	1	0	5	%													max					0
lightresist	41	res-ltng	Lightning Resistance %	1	-50	8	%													max					0
maxlightresist	42	res-ltng-max	Max Lightning Resistance %	1	0	5	%													max					0
coldresist	43	res-cold	Cold Resistance %	1	-50	8	%													max					0
maxcoldresist	44	res-cold-max	Max Cold Resistance %	1	0	5	%													max					0
